```
Duration,Pulse,Maxpulse,Calories,WorkoutLength,HeartRateZone,CalorieBurn,EfficiencyRatio,EfficiencyCategory,WorkoutIntensity
60,110,130,409.1,Medium,Moderate,High,6.818333333333333,Medium,Moderate
60,117,145,479.0,Medium,Moderate,High,7.983333333333333,High,Moderate
60,103,135,340.0,Medium,Moderate,Medium,5.666666666666667,Medium,Moderate
45,109,175,282.4,Medium,Moderate,Medium,6.275555555555556,Medium,Moderate
45,117,148,406.0,Medium,Moderate,High,9.022222222222222,High,Moderate
60,102,127,300.0,Medium,Moderate,Medium,5.0,Medium,Moderate
60,110,136,374.0,Medium,Moderate,Medium,6.233333333333333,Medium,Moderate
45,104,134,253.3,Medium,Moderate,Medium,5.628888888888889,Medium,Moderate
30,109,133,195.1,Short,Moderate,Low,6.503333333333333,Medium,Moderate
60,98,124,269.0,Medium,Low,Medium,4.483333333333333,Medium,Moderate
60,103,147,329.3,Medium,Moderate,Medium,5.488333333333333,Medium,Moderate
60,100,120,250.7,Medium,Moderate,Medium,4.178333333333333,Medium,Moderate
60,106,128,345.3,Medium,Moderate,Medium,5.755,Medium,Moderate
60,104,132,379.3,Medium,Moderate,Medium,6.321666666666667,Medium,Moderate
60,98,123,275.0,Medium,Low,Medium,4.583333333333333,Medium,Moderate
60,98,120,215.2,Medium,Low,Medium,3.5866666666666664,Low,Moderate
60,100,120,300.0,Medium,Moderate,Medium,5.0,Medium,Moderate
45,90,112,,Medium,Low,Unknown,,Unknown,Moderate
60,103,123,323.0,Medium,Moderate,Medium,5.383333333333334,Medium,Moderate
45,97,125,243.0,Medium,Low,Medium,5.4,Medium,Moderate
60,108,131,364.2,Medium,Moderate,Medium,6.07,Medium,Moderate
45,100,119,282.0,Medium,Moderate,Medium,6.266666666666667,Medium,Moderate
60,130,101,300.0,Medium,High,Medium,5.0,Medium,Intense
45,105,132,246.0,Medium,Moderate,Medium,5.466666666666667,Medium,Moderate
60,102,126,334.5,Medium,Moderate,Medium,5.575,Medium,Moderate
60,100,120,250.0,Medium,Moderate,Medium,4.166666666666667,Medium,Moderate
60,92,118,241.0,Medium,Low,Medium,4.016666666666667,Medium,Moderate
